horizon,lead,lagging,lag,rho,edge_bp,cost_bp_at_1.5x,pays,qualifies
1d,EURGBP,AUDJPY,9,-0.029266,2.10935,2.06765,True,False
1d,NZDUSD,AUDJPY,12,-0.028907,2.0835,2.06765,True,False
1d,NZDUSD,GBPUSD,8,0.0288,1.68186,1.64909,True,False
1d,AUDJPY,GBPUSD,1,0.028625,1.67165,1.64909,True,False
1d,AUDJPY,USDJPY,1,-0.028592,1.6052,1.13462,True,False
1d,USDJPY,GBPUSD,4,0.02849,1.66378,1.64909,True,False
1d,EURGBP,USDJPY,2,-0.02839,1.59385,1.13462,True,False
1d,GBPJPY,GBPUSD,10,0.028312,1.65337,1.64909,True,False
1d,USDCAD,USDJPY,2,-0.028274,1.58731,1.13462,True,False
1d,GBPJPY,EURJPY,11,-0.028239,1.60182,1.46256,True,False
1d,AUDUSD,EURJPY,10,-0.028028,1.58988,1.46256,True,False
1d,EURGBP,USDJPY,11,0.028025,1.57333,1.13462,True,False
1d,NZDUSD,EURJPY,2,0.027614,1.56637,1.46256,True,False
1d,USDCAD,EURUSD,10,-0.027588,1.34879,0.99802,True,False
1d,EURCHF,EURJPY,9,0.027363,1.55213,1.46256,True,False
1d,EURUSD,USDJPY,4,-0.027322,1.53391,1.13462,True,False
1d,USDJPY,EURJPY,6,0.027303,1.54873,1.46256,True,False
1d,AUDJPY,USDJPY,4,-0.027283,1.53171,1.13462,True,False
1d,GBPUSD,EURJPY,7,-0.027082,1.53622,1.46256,True,False
1d,NZDUSD,EURUSD,7,-0.027056,1.32277,0.99802,True,False
1d,AUDUSD,USDJPY,12,-0.026738,1.50109,1.13462,True,False
1d,AUDJPY,USDJPY,10,-0.026643,1.49574,1.13462,True,False
1d,USDCAD,EURUSD,6,0.026246,1.28318,0.99802,True,False
1d,USDCHF,EURUSD,11,0.026243,1.28303,0.99802,True,False
1d,USDCHF,USDJPY,5,-0.026137,1.46737,1.13462,True,False
1d,AUDJPY,EURJPY,2,0.025999,1.47481,1.46256,True,False
1d,NZDUSD,USDJPY,3,-0.025967,1.45782,1.13462,True,False
1d,USDCAD,EURUSD,3,-0.025593,1.25126,0.99802,True,False
1d,EURJPY,USDJPY,3,-0.025547,1.43426,1.13462,True,False
1d,GBPJPY,EURUSD,6,-0.025467,1.2451,0.99802,True,False
1d,EURGBP,USDJPY,12,0.025423,1.42725,1.13462,True,False
1d,NZDUSD,USDJPY,10,-0.024987,1.40279,1.13462,True,False
1d,USDCAD,USDJPY,8,0.024977,1.40222,1.13462,True,False
1d,USDJPY,EURUSD,10,0.024944,1.2195,0.99802,True,False
1d,NZDUSD,EURUSD,5,-0.02484,1.21446,0.99802,True,False
1d,USDJPY,EURUSD,3,0.024743,1.2097,0.99802,True,False
1d,EURCHF,USDJPY,10,-0.024719,1.38773,1.13462,True,False
1d,AUDUSD,USDJPY,9,0.024695,1.38641,1.13462,True,False
1d,USDCAD,USDJPY,6,-0.024379,1.36864,1.13462,True,False
1d,AUDUSD,USDJPY,1,-0.024349,1.367,1.13462,True,False
1d,GBPJPY,USDJPY,12,-0.024145,1.35554,1.13462,True,False
1d,USDCHF,EURUSD,4,-0.023884,1.16769,0.99802,True,False
1d,USDCHF,EURUSD,3,0.023868,1.16691,0.99802,True,False
1d,AUDUSD,EURUSD,3,0.0236,1.15379,0.99802,True,False
1d,USDCAD,EURUSD,7,0.023371,1.14261,0.99802,True,False
1d,USDJPY,EURUSD,11,-0.023063,1.12755,0.99802,True,False
1d,AUDUSD,USDJPY,6,0.023057,1.29445,1.13462,True,False
1d,AUDJPY,USDJPY,9,0.02305,1.29408,1.13462,True,False
1d,EURCHF,EURUSD,4,-0.022921,1.1206,0.99802,True,False
1d,AUDUSD,EURUSD,6,-0.022848,1.11703,0.99802,True,False
1d,NZDUSD,USDJPY,5,0.022533,1.26504,1.13462,True,False
1d,USDCHF,USDJPY,8,0.022243,1.24872,1.13462,True,False
1d,EURCHF,USDJPY,6,0.022214,1.2471,1.13462,True,False
1d,AUDJPY,EURUSD,9,-0.022049,1.07798,0.99802,True,False
1d,USDCAD,USDJPY,7,-0.021909,1.22999,1.13462,True,False
1d,EURCHF,USDJPY,12,-0.021718,1.21927,1.13462,True,False
1d,EURCHF,USDJPY,4,0.021709,1.21879,1.13462,True,False
1d,GBPJPY,EURUSD,7,-0.021698,1.06081,0.99802,True,False
1d,USDCHF,EURUSD,10,0.021635,1.05777,0.99802,True,False
1d,EURJPY,USDJPY,10,-0.021608,1.21307,1.13462,True,False
1d,AUDUSD,USDJPY,3,-0.021448,1.20409,1.13462,True,False
1d,NZDUSD,EURUSD,9,-0.021048,1.02906,0.99802,True,False
